Tweet,Topic
"✅Scoring two solid Hat tricks in two games,
✅First African Woman to do that 
✅First “Woman” in the World to Do THAT… https://t.co/dVV1vxawIm",2
"Lewis Clareburt (New Zealand) gets it done, chasing down Chase Kalisz (USA) on the final 100m. Clareburt takes heat… https://t.co/cau1RziUkF",23
"This #OlympicGames gonna be total thriller. 💯💪
#Cheer4India
#TokyoOlympics
#Tokyo2020",0
Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your silver in Weightlifting.… https://t.co/4oa09jvHpz,0
"Day 1 Medal 1! 

Thank you and Congratulations #MirabaiChanu for carving the path to a successful Olympics for the… https://t.co/Y65F67T07a",0
"Second match, Chan Peng Soon/Goh Liu Ying vs Hong Kong. Go 🇲🇾. #TeamMalaysia #Tokyo2020",0
Smith's turn to race in the 400m Individual medley #Tokyo2020 #TokyoTogether #swimming,-1
"India's daughter.  #prideofindia🇮🇳

ITS SILVER FOR INDIA 🇮🇳🇮🇳🇮🇳🇮🇳 THANK YOU Mirabai Chanu 🥈#MirabaiChanu #Tokyo2020… https://t.co/UAF8kqTjQJ",0
"Congratulations to @mirabai_chanu
 for winning India’s 1st medal in the ongoing #Tokyo2020  #OlympicGames  .🥈🏋️‍♀️A… https://t.co/1uN4WJAAwH",0
Saturday Fun Day #MirabaiChanu #Tokyo2020 #Olympics #Weightlifting #Cheer4India #ProjectK #TeamIndia #GuruPurnima… https://t.co/qQBTtl82Wx,0
"🎊 Congratulations,
India's first in Tokyo Mirabai wins silver 🥈 The youth of today must idolise people like weightl… https://t.co/Ie4YGkD9GR",0
"Heartiest congratulations @mirabai_chanu 
You have made us all proud. 

#Tokyo2020 https://t.co/UFYSArX5ON",0
"LIVE NOW ON YOUTUBE!

Japan 0-0 Team GB

Can Great Britain get 2 wins out of 2 at the Olympics?

Live Stream 👉… https://t.co/9STEZsOn3U",1
"Congrats #MirabaiChanu 🏋️‍♀️

India is proud of you!

#Tokyo2020 #MirabaiChanuWinsMedal #Olympics #Weightlifting",0
"Go on Clareburt! New Zealand and Oceania record, beating out the medal favourite in the 400m medley #Tokyo2020",23
Congratulations to #MirabaiChanu for winning India a silver medal in women’s 49 Kgs!!!! 💪🏻🇮🇳❤️👏 #Tokyo2020,31
Mixed doubles lessgoooo #Tokyo2020,-1
"Chase Kalisz charges back on breaststroke, taking the lead at the 300m mark. Kalisz turned in 3:10.60 #Tokyo2020",23
"The #SWEvAUS Women's game has been a rollercoaster!

#Tokyo2020 #Football",37
If anyone else is shocked to find @BBCSport don’t have full coverage of the #Tokyo2020 Olympics which is sub contra… https://t.co/yMHdYSSzIx,10
@MohanlalMFC @mirabai_chanu @Mohanlal Congratulations @mirabai_chanu on winning India's First medal in… https://t.co/2K3djzqsS9,0
"Congratulations to Mirabai Chanu for winning the first medal for India in #Tokyo2020 Olympic.
You have brought chee… https://t.co/ajFZDrKBzN",-1
"@ShivaGopalMish1 @RailMinIndia @AshwiniVaishnaw @IR_CRB Hearty Congratulations to 
Indian Railways 🏋️‍♀️ player… https://t.co/PG5cPqoS6A",0
"Good Luck to all the 🛶@skibbrowing in #Tokyo2020 
#pulllikeadog https://t.co/fPQmS6iaqG",-1
"All BJYM/BJP Karyakartas congratulate @mirabai_chanu Ji on winning Silver Medal at #Tokyo2020 
India is proud of yo… https://t.co/dEoeUMcGWh",0
"You will take gold medal in?
#Tokyo2020 #Olympics #",0
Swimming! Now we’re talking. #Tokyo2020,11
Lewis Clareburt what an effort!! #Tokyo2020,23
Congratulations #MirabaiChanu for Silver Medal in #Tokyo2020 😘 https://t.co/nAt65k2k4d,0
"Clareburt - how good, and in a NZ record time #Tokyo2020",23
Next game..lets goooo #ganbattemalaysia #Badminton #Tokyo2020 https://t.co/zcz4kdZJiN,9
3x3 basketball is where it's at #Tokyo2020,13
Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your silver in Weightlifting.… https://t.co/FSzfxRQzOp,0
"Steven: Who has the Christmas flag?
Me: ?
S: Red, white, and green.
Me: Hungary.
S: Are you sure it's not Hungaria? 

#Tokyo2020",1
Ahh I feel for Ashley McKenzie 😞#Tokyo2020,-1
"Let’s go Chan Peng Soon / Goh Liu Ying #MAS x Tang Chun Man / Tse Ying Suet #HKG

#Badminton  #Tokyo2020  #Olympics… https://t.co/dxtZDxFdEj",0
Final heat of the Men's 400m IM is led by Seto #JPN and Litherland #USA #Swimming #Tokyo2020,35
Baptism of fire. #NZLvUSA #Tokyo2020 https://t.co/IwlhNVYssh https://t.co/Qj6EQyJEVF,-1
"According to this (simple) xG model, GER should have won. ESP, however, converted more difficult shots better. Also… https://t.co/j563WyX6f8",5
"Let the Games Begin! 
#Olympics  #Tokyo2020 #Tokyo2021 #TokyoOlympics 
https://t.co/GWVn6TNM5f",6
Heartiest congratulations @mirabai_chanu heart swells with pride on your achievement! #Tokyo2020 #Olympics #OlympicGames #TokyoOlympics2021,0
"ESPvRSA 29-4 Spain got it. 
women's waterpolo  #Olympics #OlympicGames #Tokyo2020",41
"Sweden ultimately too good for the Tillies in the end. 

At times they looked one step ahead of the game and when t… https://t.co/diAMWeNiB1",1
"Congratulations💐 #MirabaiChanu on winning Silver medal for the country.🇮🇳🥈
Proud moment for us😊🙌🏻
#Tokyo2020 https://t.co/mfaEe7oh3g",0
"Biography of #MirabaiChanu

https://t.co/oXI7Qqqq91
#Tokyo2020
#TokyoOlympics2021
#India #mirabai #Manipur… https://t.co/rOJeAnvPx8",0
Heartiest Congratulations to Miss Mirabai Chanu on clinching a silver medal in women's 49 kg weightlifting category… https://t.co/jbbxKNU4W7,0
Mirabai Chanu started the medal tally for India by winning a silver medal in the women’s 49kg category at the Tokyo… https://t.co/XiD03ubyIY,-1
@mirabai_chanu @Media_SAI @IndiaSports @RailMinIndia @iosindiaoff @virenrasquinha @imrahultrehan Heartiest congratu… https://t.co/4WUAN49DAN,-1
Woohoo!! Lewis wins his heat! GO KIWI #Tokyo2020,23
"Tokyo Olympics 2020 at a glance: Day 1 major moments and updates. China, South Korea and Ecuador among the big winn… https://t.co/Z93cWQ4DHh",-1
Huge congratulations to #MirabaiChanu on winning the silver for weightlifting at the #Tokyo2020 #Olympics,0
Ashley Mackenzie 🤦‍♂️ #GBR #Judo #Tokyo2020,-1
Algerian judoka who refuses to match against Israel suspended from Judo &amp; sent back to his home by immediate effect… https://t.co/uE2WltPbLs,-1
Marmottes forever 🤩 #Olympics #OlympicGames #Tokyo2020 https://t.co/xyONtZbwUr,-1
"TeamNigeria in the Olympics 
#TeamNigeria #Tokyo2020 #TokyoOlympics #TokyoOlympics2021 https://t.co/wApCAK1GVQ",-1
Go on son! PB for Clareburt! @TheNZTeam #Tokyo2020,23
This is the second ever gold #Olympics medal for Kosovo in our second ever @Olympics games! In #Rio2016 Majlinda wo… https://t.co/DZ4lKf4Q2V,20
Congratulations to @mirabai_chanu for winning the Silver Medal in #Weightlifting at the #TokyoOlympics! Your victor… https://t.co/NecBc9Q3yr,0
"@TeamSA2020 @MrPriceSport @Veldskoenshoes All the best #TeamSA 

#Tokyo2020
#TeamSA2020
#Olympics",-1
"What a blockbuster opening for India.... 

#TableTennis 
 #SutirthaMukherjee beats #LindaBergstrom 4-3 to win her o… https://t.co/Q69PP76Pbb",3
"Silver media for Mirabai Chanu in #Tokyo2020.

PROUD MOMMENT FOR INDIA

#tokyo2020olympics #tokyo2020… https://t.co/2ul4GPp6L3",0
"Correction:

Algerian Judoka quits to avoid a loss against Israeli opponent. 
🤣🤣🤣
#Judoka #Olympics #Tokyo2020 https://t.co/VwmphnvCMy",-1
@mirabai_chanu @Media_SAI @IndiaSports @RailMinIndia @iosindiaoff @virenrasquinha @imrahultrehan Proud moment for e… https://t.co/GvMPfCux3E,-1
"congratulations @mirabai_chanu
for medal
#MirabaiChanu
#Tokyo2020",-1
@BandaBex @Copper_Queens 🇿🇲 Zambia now leads in the most goals ⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️scored by an African side in a singl… https://t.co/PhFriJZXru,2
I have no shame in doing nothing and going nowhere on a Saturday and just watch the #Tokyo2020 #Olympics all day 😀🍿,25
Mirabai Chanu has bagged  the first medal for India in the 49kg Weightlifting category. This has started India's jo… https://t.co/wGtyDG5daq,0
"Our hopes as a nation now appears to rest in the hands of Graham Arnold's Olyroos. 

All-time great performance fro… https://t.co/N1fw4v8uvG",0
"Clareburt!

So good!

#nzl #EarnTheFern #Tokyo2020 #swimming",23
They ref has been in the way of the players so many times it’s ridiculous. Plus wearing black with a team wearing d… https://t.co/8bCEQ5YLud,1
"So many events to watch, I don’t have that many screens where I can watch it all. #Olympics #Tokyo2020",-1
Swedish Team 👏👏👏 #Tokyo2020 #Football,1
"Q3: 🇬🇧1-1🇿🇦

Third quarter underway. 

Follow the Live scorecard on https://t.co/KcuYTBjHlP

#GBRvRSA
#Tokyo2020",16
@SkySports @SportsMediaLGBT The comments on this post shows why we need visibility now more than ever. Love and sup… https://t.co/WkCWvCB9Lw,10
"Congratulations Sutirtha Mukherjee for the great comeback. 🥳🇮🇳
#Tokyo2020 https://t.co/ULZ0SBv41Z",3
@Mohanlal @mirabai_chanu Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your… https://t.co/f1DDuChfLF,0
"Huge congratulations 👏 #MirabaiChanu 
#Silver 
#Tokyo2020 https://t.co/SKDfYvKCRL",-1
Carlos Yulo and Remedy Rule competes today at the #Tokyo2020! Where can we watch? Damn! Local channels aren’t covering it! @CignalTV,19
@Mohanlal @mirabai_chanu Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your… https://t.co/dhmxACCap9,0
"GOLD!!!! 🇪🇨🇪🇨🇪🇨

What a day for my country 😭

#Tokyo2020 https://t.co/vLMsW8x3jw",60
Solid performance by SA men’s hockey team against Great Britain at #Tokyo2020,1
@AmbassadorEstif @SirakBahlbi In a very tough Olympic competition Merhawi 55th Amanuel 50th . This is an excellent… https://t.co/WZ9efXwf6J,-1
Standing in the eyes of the world! Good Luck to our Malaysian's Athlete. Bring the Gold Medal Home! 🥇🇲🇾… https://t.co/P8P8UBETQ6,-1
@Mohanlal @mirabai_chanu And here comes India with our very first medal at the Tokyo Olympics 2020! Proud of… https://t.co/DJ3ssJ3ftM,0
Congratulations Indian Woman power #NorthEast #MirabaiChanu #Weightlifting #Tokyo2020 #Manipur #India https://t.co/YYxViylTTx,0
@Mohanlal @mirabai_chanu Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your… https://t.co/a67J2XGFUU,0
"#Tokyo2020 💚🤍❤️ 𝐈 𝐓 𝐀 𝐋 𝐈 𝐀 💚🤍❤️
#giannimoscon #TrattoredellaValdiNon #italia #olimpiadi #forzaazzurri #italianteam… https://t.co/9Krk8vpIeC",51
"Note for u all, who watch #Olympics #Tokyo2020 #Badminton on https://t.co/dA8Uz3ibnZ 👇 https://t.co/PzRtmASkCf",9
"Reki is ready for #Tokyo2020!  ✨

(#SK8THEINFINITY #SK8エスケーエイト #sk8infinity #SK8THEINFINITYfanart #sk8theinifinity… https://t.co/HoWPDVHO9B",-1
Congratulations! to Mirabai Chanu for bringing India's first silver medal at the #Tokyo2020 #Olympics in women's 49kg weightlifting.,-1
"Go on then, Lewis Clareburt 🔥 #Tokyo2020",23
"#Swimming preliminaries are underway at the Tokyo Aquatic Center. 

Keep an eye on Heat 3 of the women’s 100m butte… https://t.co/mdZTeBNkz1",12
@Mohanlal @mirabai_chanu And here comes India with our very first medal at the Tokyo Olympics 2020! Proud of… https://t.co/fRQiD2SLD1,0
"Racists go home...
Algerian judoka Fethi Nourine suspended from world judo and sent home for refusal to face Israel… https://t.co/3uvsNReBXo",-1
Congratulations @mirabai_chanu winning silver medal 🏅 #Cheer4India #TokyoOlympics #TeamIndia #Tokyo2020 https://t.co/f7azvfJD4X,-1
"CLAREBURT WINS! Beats his own New Zealand record in the process, fastest time so far #Swimming #Tokyo2020",23
And here comes India with our very first medal at the Tokyo Olympics 2020! Proud of @mirabai_chanu who secured the… https://t.co/Og7boOhWxY,-1
"LATEST NZ TEAM RESULT: #SWIMMING

@Lewis_Clareburt 1st in Heat 3 with a time of 4:09.49 in the 400m Individual Medl… https://t.co/iXY4qnwYeI",23
I screamed all through the lead up to Kerr’s penalty and that sums up this game. #SWEvAUS #Tokyo2020,7
"Heartiest Congratulations #MirabaiChanu for achieving the first medal for India at Tokyo Olympics, we are proud of… https://t.co/n1tuguG8OZ",0
"Majlinda Kelmendi won Kosovo's first Olympic medal: women's judo gold in the -52kg division, at #Rio2016 

Distria… https://t.co/ThGxsdO2ch",20
"…or Team Sweden Women 🇸🇪 (@SWEOlympic/@svenskfotboll) claims three points at their expense. 
#TokyoOlympics… https://t.co/f0IW4yxEmi",-1
Six minutes left at Saitama Stadium 02 for Team Australia Women 🇦🇺 (@AUSOlympicTeam/@FootballAUS/@TheMatildas) to s… https://t.co/lrgK2cjPBQ,-1
Heartiest Congratulation to @mirabai_chanu on winning India’s first Silver Medal in women’s 49kg Weightlifting cate… https://t.co/8ttZHTZzjO,0
Prime Minister @narendramodi spoke to the @mirabai_chanu and congratulated her on winning the Silver Medal at… https://t.co/twdDQhVrbU,0
It's so funny to see USA Boxing on here hyping up guys that they went out of their way to exclude from the Olympic… https://t.co/irOkVXxPEO,4
"🇬🇧 women's football line-up versus the hosts 🇯🇵

Four changes to the side that defeated Chile in the first group ga… https://t.co/22LgjVlYNi",22
GAMEDAY. Match day 2 for 🇺🇸 #USWNT as they take on 🇳🇿New Zealand. We’ve got a live blog going for you all over on… https://t.co/WOUp3VAziq,-1
"GIVE UP! YOU WILL NOT GET ANOTHER GOAL! GET YOUR OWN! 
Lindahl (01) SHUTS HER DOWN! 
Kerr (02) STUFFED on a walk-in… https://t.co/I2QCakeNRW",7
"#MirabaiChanuCongratulations #MirabaiChanu on winning Silver medal for the country!🇮🇳🥈
You have made us all proud… https://t.co/qyNeQsRVog",0
You have lifted and won the hearts of billions of Indians. So proud of your performance. Go #MirabaiChanu . GO 🇮🇳.… https://t.co/GvJKoMNTDY,0
Four Year's of hardwork. Congratulations @mirabai_chanu. #MirabaiChanu #Olympics #Olympics2020 #India #Silver #Tokyo2020 #Weightlifting,0
#Breaking : #SumitNagal defeats Denis Istomin in 1st round of the Tennis Men's Singles event. Sumit became the firs… https://t.co/aJjQpQCMSo,17
"Badminton: Men’s Double Group Play Stage - Group D 🏸

🇰🇷0 - 2🇲🇾
 
Game 1 : 22-24
Game 2 : 15 - 21

The first victor… https://t.co/ahfqKaZOCS",-1
"…&amp; YOU CAN TELL YOUR MA, TELL YOUR PA, I'M GONNA SEND YOU BACK TO ARKANSAS! 
#TokyoOlympics #Tokyo2020 #Tokyo2021… https://t.co/zUaoYe3r6d",-1
"I’m watching the swimming heats! 

Swimmers are so fit!! 

I’m exhausted just watching lol. I could never!! 

I’m i… https://t.co/F6XZba0Kgg",11
"Clareburt #NZL takes the heat in 4:09.45, Kalisz #USA in second. #Swimming #Tokyo2020",23
Enjoyable screenshot #Kosova gold medal #Tokyo2020 https://t.co/drvWSBraUK,20
"If suc¡de b0mb¡ng and spreading terr0r¡sm been considered as sports, Pak¡stan would have been topping the medal tal… https://t.co/xHO0NiPkdc",-1
"My team is winning. 🇸🇪 Her team isn't even playing today. 🇺🇲 Still, my mind keeps wandering to Megan Rapinoe. 🔥💦💘… https://t.co/FpQ6o0ybBM",-1
"GET THAT HOT GARBAGE OUTTA MY FACE! 
Lindahl (01) SAYS NO! 
Kerr (02) KICKED OUT WITH A PURPOSE on the penalty kick… https://t.co/kMduntKT4R",7
Captain Nicholas Okong'o Okoth loses out to the Erdenebai Tsendbaatar at the Mens Feather (52-57kgs) and will not a… https://t.co/CL89sC5jBC,4
Canada and Germany just started the second quarter of their hockey match in a largely empty #Tokyo2020 stadium https://t.co/8f9ynGEz7b,-1
Congratulations 🎊 🎊 🎊🎊💐😊🍫 thanks for make me feel proud #Tokyo2020 Jai Hind 🇮🇳 https://t.co/phVb34ZJd3,-1
"RUBBISH, REF! 
Team Sweden Women 🇸🇪 (@SWEOlympic/@svenskfotboll) fans at home, players &amp; coaches in attendance disa… https://t.co/l56Hb1kGkH",-1
@Mohanlal @mirabai_chanu And here comes India with our very first medal at the Tokyo Olympics 2020! Proud of… https://t.co/BL9V86TcB8,0
Congratulations #MirabaiChanu for winning first silver medal for #india #Tokyo2020 @mirabai_chanu https://t.co/bBdTpmJshs,0
"As the world sets its eyes on the Tokyo Olympic games, which African athlete do you think will make their mark this… https://t.co/qbmhSf7Bie",2
"🐣📢NEW EPISODE📢🐣

Lawson has declared it the Summer of GooDog! We take a deep dive into the hot dog scene. 

We talk… https://t.co/4diCYnAbXS",-1
"REF, IS THIS A JOKE TO YOU BY CALLING AN INCOMING PENALTY KICK?! 
Incoming penalty kick to Team Australia Women 🇦🇺… https://t.co/foEuxx8t9h",1
Go Lewis. We believe @TheNZTeam #earnthefern #swimming #Olympics #OlympicGames #Tokyo2020,23
"Video assistance required for a possible tripup in the 18… 

Verdict from the video assistants: 
TRIPUP IN THE 18!… https://t.co/Si1LMaU8Iq",-1
"For @phumz_24, as a 28-year-old black South African woman, to lead the country on to the world stage was a special… https://t.co/tHLx9nlrbp",2
"…SHE BEATS Micah (18) LIKE A RENTED MULE! 
#TokyoOlympics #Tokyo2020 #Tokyo2021 #Football #AUS #SWE #SWEvAUS https://t.co/GaGvTQw9Wt",-1
"Congratulations #MirabaiChanu for achieving the first medal for India at Tokyo Olympics, we are proud of you!… https://t.co/yx2BWTrGBG",0
"THAT'S TWO! 
Rolfö (18) SCORES her 2nd on a quickshot in minute 63 to retake the lead… 
Team Australia Women 🇦🇺 (… https://t.co/vUpWldqbRX",1
Chanu lifted a total of 202 kg (87 kg in snatch and 115 kg in clean and jerk) during her four successful attempts i… https://t.co/g9aiWcOe0O,0
@Mohanlal @mirabai_chanu Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your… https://t.co/t1mOfAnUae,0
"If you want to watch a sport that isn't on the BBC for the Olympics, where can you watch it properly? Are you able… https://t.co/q2m0la0Mzt",10
"RN// MIX DOUBLE
MAS VS HKG
#Olympics #Tokyo2020 #SokongMalaysia",-1
"Congratulations to #MirabaiChanu for our country's first medal in the ongoing #Tokyo2020 #Olympics .
India is proud… https://t.co/9HtKbN9bDI",0
"#Tokyo2020 💚🤍❤️ 𝐈 𝐓 𝐀 𝐋 𝐈 𝐀 💚🤍❤️
#giannimoscon #TrattoredellaValdiNon #italia #olimpiadi #forzaazzurri #italianteam… https://t.co/0KapmCWd1h",51
"A terrific comeback by @sutirthamukher4 💪💪
Trailing 3 sets to 1 she displayed terrific fighting spirit to beat Lind… https://t.co/DSQyLg7K2R",3
@Mohanlal @mirabai_chanu And here comes India with our very first medal at the Tokyo Olympics 2020! Proud of… https://t.co/EqV7GxT46u,0
"Huge congratulations to #MirabaiChanu ....
#Tokyo2020 #TeamIndia",0
"Canada vs Germany right now in men's field hockey.

Opening game for both teams.

Canada just scored to tie it 1-1. #Tokyo2020",-1
"MATCH DAY! 💪

Nine #Lionesses start for @TeamGB in their second group game today against 🇯🇵 at #Tokyo2020. 

⏰ 11:3… https://t.co/dO3p9DnMxa",15
All those that constantly chant “DEFUND THE BBC” now have a glimpse of what that will entail with the tragically re… https://t.co/7DTKVhGK1D,10
Following their 3 - 0 defeat to Sweden that ended their 44 match unbeaten run the USA have brought back their stars… https://t.co/7n7CKBe7YE,1
@Mohanlal @mirabai_chanu Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your… https://t.co/Rxy2LRMbaI,0
"Love &amp; pats from Maria Caetano for Fenix de Timéo 😍😍

Just missing out on a qualifying spot in the individual but T… https://t.co/2ub2QSJEQP",5
"Cycling-Carapaz wins gold in thrilling finish to road race
#Tokyo2020 #TokyoOlympics #TokyoOlympics2021 #Olympics… https://t.co/8hyJ9zirTI",5
Kiwi Swimmer Lewis Clareburt with a time of 4:09:49 the fastest time of the night so far.... one heat to go #Tokyo2020,23
"Jai Hind 🙏 
#TeamIndia #TokyoOlympics #OlympicGames #Cheers4India #MirabaiChanu #Tokyo2020 https://t.co/NLFjtPBhpo",-1
Come on Lewis Clareburt! #Tokyo2020 #swimming,23
"Barbara Banda is on fire
#Tokyo2020",2
"🚵🏽‍♂️David Valero Serrano

#Ciclismo➡️ Cross-country

#Tokyo2020",40
@Mohanlal @mirabai_chanu And here comes India with our very first medal at the Tokyo Olympics 2020! Proud of… https://t.co/l0mPwzY2AL,0
"#Tokyo2020 #Cheer4India #MirabaiChanu

@Abhinav_Bindra  writes to @mirabai_chanu, says silver will 'serve as remind… https://t.co/LW4vOhCFcX",-1
Gees that was nice by Lewis Clareburt &amp; I reckon he’s got more to give! #Tokyo2020,-1
"Congratulations 🎉🎉👏
#Silver
#MirabaiChanu 
#Tokyo2020 https://t.co/yNWMGmxVVb",-1
"For @phumz_24, as a 28-year-old black South African woman, to lead the country on to the world stage was a special… https://t.co/AiOtYPQz2R",2
"Back under way. 

Join the action on BBC Red Button or the BBC Sport app  
👉 https://t.co/OQMkddK4zE
#Tokyo2020… https://t.co/vrq9O4Tr8x",10
"31' - 🇬🇧 1-1 🇿🇦

We're back underway in Tokyo - let's go boys 🙌

📺 @discoveryplusUK &amp; BBC iPlayer/Red Button
💻… https://t.co/tZpzgw2hvy",1
📹 | Watch the moments when colors of Turkish Flag is reflected on Empire State Building due to participating in… https://t.co/CU2CZqbnzV,1
"Accidental #weightlifter to #Olympic medallist, #MirabaiChanu 's story (Profile)
@mirabai_chanu @IndiaSports… https://t.co/2Qe5ltxbS8",-1
"Beach Volleyball-Brazil Do Double Over Argentina, Swiss Women On Top 

#Olympics #OlympicGames #Olympics2021… https://t.co/zJgwxhGPVN",1
Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your silver in Weightlifting.… https://t.co/OtvmKoQBf9,0
"this is Japan
#Tokyo2020  #TokyoOlympics2020 https://t.co/qIUxplmg6g",1
5th on her debut is great!!! well done Catarina! José Lopes won his heat on the 400m individual medley :) probs won… https://t.co/fF63jOxeW9,-1
"India’s 1st medal on day 1 !

@mirabai_chanu wins SILVER in women's 49kg weightlifting! 🥈🏋️

India 🇮🇳 is so proud o… https://t.co/aGf7YcJzDZ",0
Olympics should be without Europeans. #Tokyo2020,-1
Human pictograms. Excellent. #Tokyo2020 #TokyoOlympics #pictograms https://t.co/JtEpX2a0i1,14
"Congratulations @mirabai_chanu on winning the silver for weight lifting at the #Tokyo2020 Olympics.

What a start f… https://t.co/E7QpUe8OCN",0
how can I watch the swimming heats live?? @BBCSport #Tokyo2020 #olympicswimming,48
Hoping for Carlos Yulo to get that🥇🙏🏼 #Tokyo2020,19
"When is Synchronized Swimming? 

#Tokyo2020",11
"Cilic is now serving for the match, leading 5-1 in the 3rd. What a turn around. #Tennis #Tokyo2020 https://t.co/TnCutKJJUc",17
Why is the Olympics swimming on Eurosport but not BBC? Is there a secret red button I'm not privy to? #Tokyo2020 🏊‍♂️,48
So #India 🇮🇳clinched her first Singles #Tennis win since 1996 in #Olympics as young gun #SumitNagal won his first g… https://t.co/l8tInPUmzd,-1
Could not have asked for a happier start to Tokyo 2020! India is elated by Saikhom Mirabai Chanu’s stupendous perfo… https://t.co/S6OeZXWJDU,33
"Schools in India have only 1 sports class per week. And we expect hundreds of medals in Olympics.

 #Olympics… https://t.co/pQvispqda1",-1
"Smetov conquered second OG medal! Well done! 🥈🥉
#Tokyo2020",-1
"What a bloody shame! If it had not been for this bloody COVID pandemic, these #Tokyo2020 games would have been awes… https://t.co/YhHFAO4Z0R",32
Meerabai chanu won silver in weight lifting 🏋️‍♀️ in #Tokyo2020 for India..many many congratulations n proud of u 👏… https://t.co/86GHjQoMh7,0
"#Badminton : Satwik-Chirag stun world no. 3
Praneeth loses opener in Tokyo games

#ZEE5News 
#Olympics 
#Tokyo2020… https://t.co/ZunyhFJrzC",26
@7Sport FFS Basil no need to announce each competitors age in the swimming #Tokyo2020 #Olympics,11
Catching up on #Tokyo2020 opening ceremony. My 7 years old is most interested in the parade and her accompanying co… https://t.co/QpfiG1tosx,14
Hearty congratulations @mirabai_chanu for securing #Silver in woman's 49 kg category #Weightlifting. We're super pr… https://t.co/lmVKliDzt9,0
Ayuh Mixed Double #MAS! #Badminton #Olympics #Tokyo2020 #SokongMalaysia,9
"Waterpolo result: Women's Group A:
South Africa 4 Spain 29
#TeamSA #Tokyo2020",41
"#Tokyo2020 💚🤍❤️ 𝐈 𝐓 𝐀 𝐋 𝐈 𝐀 💚🤍❤️
#giannimoscon #TrattoredellaValdiNon #italia #olimpiadi #forzaazzurri #italianteam… https://t.co/5qJuWocWzo",51
"@ashchanchlani Weightlifter Mirabai Chanu Wins Silver, India's 1st Medal At Tokyo 2020
Yaaaay!!
#IndiaAtTokyo2020… https://t.co/dpuxhFoGHT",-1
"@mirabai_chanu nevermind the Silver medal but what a winning smile, you little superstar. 🤩🤩🤩Very well done! Many c… https://t.co/hkCuTgWzuu",0
"The Champ Jordan Nwora is Here una go Hear Weeen for Nnewi , He does not miss the Basket . @JordanNwora #Tokyo2020… https://t.co/vip59bcDRS",57
😮 🇸🇪 seems unstoppable!! ⚽️ #Tokyo2020,6
"चांदी ही सही बेटी तो सोने जैसी है।
Mirabai Chanu wins silver! Must be tough lifting the emotions of billions. Delighted!!!#Tokyo2020",-1
"The first one is here! 
Congratulations @mirabai_chanu for winning a silver medal 🥈 in weightlifting for India.
Pro… https://t.co/7Vswe8Aqul",0
"It finished China 4-4 Zambia, but could have been 7-7. Barbara Banda scored her second successive hattrick at these… https://t.co/wzsaU6HuZC",2
"Q2 🇨🇦 1-1 🇩🇪

Second quarter underway and Canada founds almost immediately the equaliser with Gabriel Ho-Garcia con… https://t.co/dJr5frUIPs",-1
"India ki chaandi! 🥈

Mirabai Chanu lifts #Silver... becoming the first Indian medallist at #Tokyo2020!… https://t.co/h99f0oyaHn",-1
"The 7 pound for eurosport is worth it, just a travesty it couldn't be on the bbc tho #Tokyo2020",10
Great thread... The South Korean broadcaster also noted the #COVID19 vaccination rates of the nations during the Op… https://t.co/rqxOMdqZys,32
"Chase Kalisz charges back on breaststroke, taking the lead at the 300m mark. Kalisz turned in 3:10.60 #Tokyo2020",23
@MohanlalMFC @mirabai_chanu @Mohanlal Congratulations @mirabai_chanu on winning India's First medal in… https://t.co/yJV3DUK5OQ,0
"Congratulations #TeamIndia 

First medal for India at #Tokyo2020  

Weightlifter #MirabaiChanu wins India's first m… https://t.co/tOmXxwUlm2",-1
Sutirtha Mukherjee making a come back against higher ranked Linda Bergstrom of Sweden- this is surely big highlight… https://t.co/FRhRuzLaiR,3
The cyclism event was really awesome. Congratulations #Tokyo2020,8
"I dedicate this medal to my country and thank the billion prayers of all Indians: @mirabai_chanu 🏋️‍♀️

More here 👉… https://t.co/NVGooPTdjF",0
Congratulations @mirabai_chanu on winning India's First medal in #TokyoOlympics with your silver in Weightlifting.… https://t.co/hQWYHKRZpG,0
#Tokyo2020 : Afghan athletes join the opening ceremony of Tokyo Olympics. Kimya Yosufi and Farzad Mansouri carried… https://t.co/sjFfQlVaGH,55
"LIVE UPDATES | #Tokyo2020 |  '16

CAN 🇨🇦 1 - 1 🇩🇪 GER

GOAL FOR CANADA! KEEGAN PEREIRA WITH THE EQUALIZER EARLY IN THE SECOND QUARTER!",16
"Musa Shadir Bwogi, the face of Uganda’s boxing 🥊 will be in the ring in quest for a gold medal. We wish you all the… https://t.co/XCVrMa5Ryg",4
Barbra Banda has done more for Zambia in 120 minutes than ECL in 6 years. #Tokyo2020 https://t.co/g2JYArVEc5,2
Go Clareburt! 🇳🇿🏊🏼‍♂️ #Tokyo2020,23
