Tweet,Topic
"No point of making the cut excuse either. Got completely outpunched, outboxed by a much much better boxer on the da… https://t.co/nJrsLyrbgv",4
"Here's my article for today's edition of The Scotsman on Eric Liddell, the Olympics, and my debut children's novel,… https://t.co/9DvgjcbBTF",-1
Could not have asked for a happier start to @Tokyo2020! India is elated by @mirabai_chanu’s stupendous performance.… https://t.co/RPMRGAhOdG,33
"India’s 1st medal on day 1 !

@mirabai_chanu wins SILVER in women's 49kg weightlifting! 🥈🏋️

India 🇮🇳 is so proud o… https://t.co/d51LbEWC12",0
BRING HOME THE GOLD MEDAL!!! #PHI #Tokyo2020 #Olympics https://t.co/JnGRpZsIt9,60
Here are the #TeamGB stars we're expecting big things from in #Tokyo2020 #Olympics https://t.co/MLameRoimy,15
"𝐎𝐅𝐅 𝐖𝐄 𝐆𝐎 😍

1st medal comes home as @mirabai_chanu wins 🥈 in women's 49kg weightlifting. BFI congratulates her for… https://t.co/PbFvNtR38O",-1
"How many of us saw this coming?

What a sad end to Vikas' journey at the @Tokyo2020!

He lost 0-5!

#Boxing 
#Tokyo2020 
#Olympics",4
"Keep it up 🇲🇾🏸🔥
#Tokyo2020  #DemiMalaysia #BadmintonMalaysia #BadmintonLovers",9
"Bit of noon footie on a Saturday, go get 'em, girls 💪 🦁🧡 @TeamNLtweets #NEDbra #TeamNL #Tokyo2020 #Olympics https://t.co/sCupGDHqTX",-1
"'A little shocked:' Team USA goes without medal on opening day for first time since 1972
https://t.co/5PE8yBrV51… https://t.co/bclnSB31Ec",0
Zuri - Asmara Dior Collection - asmara_dior_collection - Spoonflower https://t.co/9HKP58gyso via @spoonflower… https://t.co/Lg40ssQd98,-1
"@channel7 Please do not switch from Aussie swimming to an Italian gymnast on a pommel horse, right before our bigge… https://t.co/zfC2RvSzLV",8
Barnaby enjoyed #rowing yesterday. #Olympics #Tokyo2020 https://t.co/GOhxECgaPU,-1
"#afcb if you're looking to watch #Tokyo2020
Checkout eurosport channels 983 to 989 on the Sky box for wider coverage",10
"Caloy Yulo's 14.000, however, was only good for sixth in the rings preliminaries. #Tokyo2020 #InquirerXOlympics https://t.co/BTC6IKZyqx",19
Complete Schedule for Indian Women's and Men's Hockey matches at #Tokyo2020. Do save the dates and don't miss out o… https://t.co/PfrMJqMlXw,-1
"#Tokyo2020 

Where’s porridge? https://t.co/8vsfSg85jZ",6
.@SAILsteel joins the Nation in congratulating @mirabai_chanu for becoming the 1st Indian weightlifter to win silve… https://t.co/gtd9h8KcSv,0
This is one I’m really excited for #NEDvBRA #Olympics #Tokyo2020,-1
Congratulations @mirabai_chanu for winning a SILVER Medal in the women’s weightlifting event at the 2020 Tokyo… https://t.co/NnnuWgmPlr,0
"Indian cricket fraternity hails Mirabai Chanu for the Silver medal at Olympics 2020.

#MirabaiChanu #Cheer4India… https://t.co/qznQt918Ps",-1
"Heartiest congratulations to @mirabai_chanu for winning the first medal for India.

#Cheer4India #Olympics… https://t.co/zAJDkbw6S8",0
Men's 400m Individual Freestyle Heat 2 #Swimming  #Tokyo2020 #TokyoOlympics #Tokyo2021 #Olympics  #OlympicGames… https://t.co/rIG2a1RTUg,35
"Today, Bunshun magazine reveals the details of the original plans for Tokyo2020 opening ceremony by Mikiko.… https://t.co/O8X7dggYst",14
Caloy Yulo on the steel rings. He sticks his landing! #Tokyo2020 #SeeUsStonger @CignalTV @OneSportsPHL https://t.co/8hIwmWwg63,19
Here we go! This should be a fun one!  #NEDvBRA #Tokyo2020,-1
"No Nigerian representation for football events for both male and female category in the Olympics 

Shows how much r… https://t.co/66lrFfJrRu",46
"In case you missed it...

Judoka Takato wins hosts Japan's first gold medal of Tokyo 2020

https://t.co/KAxi4W0g0t

#Tokyo2020",27
"Q3 🇨🇦 1-4 🇩🇪

Christopher Rühr's shot on goal is again brilliantly saved by Frederik van Son!

Follow the Live scor… https://t.co/7JOdeis3K4",16
Fireworks explode as athletes gather at athletes' parade during  the opening ceremony #Tokyo2020 https://t.co/yGQtkMMLiG,14
"Congratulations to
@mirabai_chanu
  on winning the Silver Medal at 
@Tokyo2020
 #TokyoOlympics2020 
 #Tokyo2020… https://t.co/hScV5be5p7",0
"Congratulations Mirabai Chanu for winning India the first medal, that too silver in the Tokyo Olympics.… https://t.co/qWi6u7Ly6E",0
#Olympics #OlympicGames #Tokyo2020  Kenya vs Mongolia  boxing going on now.,4
Rectangle Switzerland flag is a crime. #Tokyo2020,1
BREAKING : Vikas Krishan loses 0-5 to Sewonrets Quincy Mensah Okazawa of Japan in Round of 32 bout of 69kg event… https://t.co/diZ1zILMV1,4
Go Caloy! Bring home that first Olympic Gold medal for PH! #Tokyo2020 #TokyoOlympics2021,63
"Big Breaking Now 

Tokyo Olympic Update 

Japan won his first Gold 🥇 Takato Naohisa won Gold in men's 60 kg Judo, C… https://t.co/ND0hXSiZdh",27
"@Troll65264734 @Olympics @visheprasad With his talent Vikas could have easily won it 
#Boxing  #Tokyo2020 … https://t.co/8rAkpmAiLs",4
World No. 1 mixed doubles #Zheng Siwei/Huang Yaqiong brushed aside their Egyptian opponents in #Tokyo2020… https://t.co/sDhvZlLMQX,-1
Oh there's men's #volleyball on my screen! Finally #Tokyo2020,1
"Remedy Rule fails to make it to the semifinals as she places 25th out of the 34 competitors.

#PHI #Tokyo2020… https://t.co/YmBTln6Iue",18
Come on girls! #NED #BRA #NEDBRA #Tokyo2020,-1
Our Goodwill Ambassador @YusraMardini gave a powerful performance in the Women’s 100m Butterfly at #Tokyo2020… https://t.co/rKJBAI07Bo,12
"Adam Peaty - destined for another Olympic gold? 🥇

The Team GB swimmer gets his #Tokyo2020 campaign up and running… https://t.co/fYwCxCofJm",57
"FT: Chile 🇨🇱 1-2 Canada 🇨🇦 

✌️Beckie’s double was enough to give #TeamCanada a massive step towards qualification… https://t.co/q9217jXOTO",22
Congratulations @mirabai_chanu on winning silver at #Tokyo2020 🇮🇳 https://t.co/GubVD4OeiP,0
"Nice one @c_edrielzxs 💖

#Tokyo2020",-1
Awake and ready for the 4x100 Freestyle Relay ……. #Swimming #TeamUSA #Tokyo2020 let’s GO. https://t.co/qeEqBmglTX,11
"So proud momento só com o pé directed her opening to Tokyo2020  #Olympics edition. This Junmyeon… OLYMPIC CHAMPION,… https://t.co/Uj5tZjH6wI",-1
It's a huge upset for  #TeamIndia as Vikas Krishan is eliminated in first round itself in #Boxing at #Tokyo2020… https://t.co/Tz6zRMXSSt,4
Watch the Turkish men finish top 8 as a group of individuals #Tokyo2020,-1
lets gooooo #Tokyo2020,6
"𝗠𝗜𝗥𝗔𝗕𝗔𝗜 𝗖𝗛𝗔𝗡𝗨!🥈👏🏻 🏋🏻‍♀️ 

The way you have transformed yourself after your injury and clinched a historic silver fo… https://t.co/2LJaOxyWBq",38
I Am Really Happy For First Medal In Silver Medal 🏅 @mirabai_chanu Proud Moment Today🤩 #IndiaAtTokyo2020 #Tokyo2020… https://t.co/RiDfCFiW9s,0
"@ThumsUpOfficial Cheers and joy can make even the tensest situation a positive and light one….. As a team, let us a… https://t.co/uZ7ZgaKyv9",-1
India strikes first medal at Olympic #Tokyo2020 ! Mirabai Chanu wins silver Medal in 49 kg Women's Weightlifting an… https://t.co/94Xx04Pews,31
"We are still proud of you Vikas. You'll win some, you'll lose some. Don't worry.. there's always a next time♥️💪🏽
#Boxing #Tokyo2020",4
"Whole nation proud of u @mirabai_chanu , The way you have transformed yourself after your injury and clinched a his… https://t.co/ansVYVJ193",-1
"Comeback….. 

#Badminton  
#Tokyo2020  
#OlympicGames",9
"Q4: 🇬🇧3-1🇿🇦

Great Britain finally find a way past Pieterse, with Jack Waller finding the net via the stick of a So… https://t.co/jVuS140fJM",16
"Absolutely amazing bigg congrats @mirabai_chanu #MeerabaiChanu 
#Weightlifting 
#Tokyo2020 
#TeamIndia https://t.co/3jscY6GheU",0
"Also, does anyone else find themselves supporting people because they come from countries which have won very few O… https://t.co/Z6Mgd8J8fh",-1
"Barbara Banda | Zambia 🇿🇲
● Scored back to back  Hat tricks 
● First Woman to do that for National Team 

Such wome… https://t.co/ybkOP5msVi",2
My favorite thing about the Olympics is we get home from being out all night &amp; they up getting to it!!! 💪 #Tokyo2020,25
"@inquirerdotnet @ftjochoaINQ Caloy Yulo's 14.000, however, put him sixth in rings in the preliminaries. #Tokyo2020… https://t.co/2A9iMbFw1M",19
#TeamGB are finding this game pretty tough going against a very energetic #JPN side. I wonder if it’s the lack of w… https://t.co/8uCkDarGmV,15
"Adam Peaty had fear of water from brothers' shark torment and screamed in bath #Tokyo2020
https://t.co/juWqzkhMfB https://t.co/O9fPNLF8dw",57
"#TeamCanada at the  #Tokyo2020 #Olympics #CAN

#swimming 🏊‍♀️ 

100 metre Butterfly women ♀️ 

World champ Maggie M… https://t.co/ZlVoCL02s0",12
